Participant ID,Eye calibration success,HUD adjustment,White Cane,PWS average time,Preferred Walking Speed (m/s),Condition,Forward or Backward,Layout,Calibrated Distance,Calibrated Time,Average Speed,X Pitch,Y Yaw,Z Roll,Total Rotation,Order,PPWS,Errors,Median Rating,Confidence,Obstacle location,Obstacle size,Awareness,Preferred Condition,rotSpeedX,rotSpeedY,rotSpeedZ,Percent Stopped,Percent Slowed,Speed Variance,Speed Variance Corrected
OA02,Yes,None,Yes,11.68,1.28,Collocated,Backward,2,15.63603,23.42,0.67,758.85,387.25,362.2,"1,508.30",5,49.84%,0,3.5,3,3,4,4,Yes,32.40179334,16.53501281,15.46541418,2.159827214,10.79913607,0.101279506,0.151568579
OA02,Yes,None,Yes,11.68,1.28,HUD,Forward,6,15.60964,27.22,0.57,620.2,439.69,232.64,"1,292.54",2,41.96%,2,2.5,3,3,2,2,No,22.78471712,16.15319618,8.54665687,1.886792453,7.169811321,0.049040347,0.085390548
OA02,Yes,None,Yes,11.68,1.28,HUD,Backward,6,16.10271,29.74,0.54,786.97,504.34,352.31,"1,643.62",2,39.17%,1,2.5,3,3,2,2,No,26.46166779,16.95830531,11.8463349,2.230483271,15.98513011,0.061015834,0.11261396
OA02,Yes,None,Yes,11.68,1.28,Combined,Forward,1,16.26242,27.32,0.6,624.57,396.76,326.87,"1,348.20",3,41.44%,2,3,3,3,4,2,No,22.86127379,14.522694,11.96449488,0.710900474,11.13744076,0.058888244,0.09885661
OA02,Yes,None,Yes,11.68,1.28,Combined,Backward,1,16.38948,27.38,0.6,788.05,502.5,436.28,"1,726.84",3,42.33%,1,3,3,3,4,2,No,28.78195763,18.35281227,15.93425858,0.473933649,11.84834123,0.071545671,0.119348279
OA02,Yes,None,Yes,11.68,1.28,Control (last),Forward,7,N/A,18.89,N/A,N/A,N/A,N/A,N/A,6,61.83%,1,6,6,6,5,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA02,Yes,None,Yes,11.68,1.28,Control (last),Backward,7,N/A,18,N/A,N/A,N/A,N/A,N/A,6,64.89%,1,6,6,6,5,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA03,Yes,None,No,10.09,1.49,Control (first),Forward,7,N/A,17.17,N/A,N/A,N/A,N/A,N/A,1,58.75%,0,5,6,3,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA03,Yes,None,No,10.09,1.49,Control (first),Backward,7,N/A,17.39,N/A,N/A,N/A,N/A,N/A,1,58.01%,0,5,6,3,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA03,Yes,None,No,10.09,1.49,No Cues,Forward,3,15.58065,18.28,0.85,290.52,217.22,192.45,700.19,5,53.85%,0,3,2,3,3,3,N/A,15.89277899,11.88293217,10.52789934,0,0.724637681,0.104140067,0.122048591
OA03,Yes,None,No,10.09,1.49,No Cues,Backward,3,15.38031,16.12,0.95,362.83,234.54,250.17,847.54,5,62.58%,0,3,2,3,3,3,N/A,22.50806452,14.54962779,15.51923077,0,0.519480519,0.154967243,0.162218696
