Condition,Direction,Layout,Total Distance (m),Total Time (s),Average Speed (m/s),X Rotation Sum (degs),Y Rotation Sum (degs),Z Rotation Sum (degs),Total Rotation (degs)
No Cues,Forward,6,15.4194432263204,18.719989277,0.823688678351179,525.7186638,348.38677362,200.8209316084,1074.9263690284
No Cues,Backward,6,15.5150524531745,18.96000444,0.81830426265314,511.110879,333.933400000001,176.46790366,1021.51218266
Collocated,Forward,5,15.3981371055569,18.619991309,0.826968007128673,569.9561172,332.793474,177.916826396001,1080.666417596
Collocated,Backward,5,15.2990520620645,18.03997953,0.84806371518452,498.486262,272.8044,179.435813680001,950.726475680001
HUD,Forward,2,15.2728980825251,18.76001055,0.814119909038385,506.639078,329.8545866,184.438835707999,1020.932500308
HUD,Backward,2,15.3096763033391,18.5200243,0.826655303218964,521.636872000001,316.2171,198.095285960001,1035.94925796
Combined,Forward,8,15.1828212236467,19.059940664,0.796582816877478,467.2289362,347.3518782,178.706353440001,993.28716784
Combined,Backward,8,15.3761776673019,18.38000223,0.836571044708838,495.314645,291.2427,178.1180186,964.6753636
