Condition,Direction,Layout,Total Distance (m),Total Time (s),Average Speed (m/s),X Rotation Sum (degs),Y Rotation Sum (degs),Z Rotation Sum (degs),Total Rotation (degs)
No Cues,Forward,5,15.7325932552103,25.72002809,0.611686472509225,598.572961000001,425.1227,361.1757902,1384.8714512
No Cues,Backward,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Collocated,Forward,7,16.0460353860622,22.940001699,0.699478386994264,603.901718,463.2245,432.21549232,1499.34171032
Collocated,Backward,7,15.6489274475278,23.08001807,0.678029254572754,659.362249460001,376.0570914,375.4420058,1410.86134666
HUD,Forward,6,16.2256229804516,28.72000235,0.564958971197703,683.563033008,472.84564,366.76177228,1523.170445288
HUD,Backward,6,15.9605057952848,32.92001695,0.484826779388545,535.579972,414.389400000001,282.9169698,1232.8863418
Combined,Forward,3,15.8206048861421,28.400012466,0.55706330780954,579.4271246,391.1859,318.3147468,1288.9277714
Combined,Backward,3,15.7288908328881,28.319996963,0.555398747162222,565.280508540001,466.058058000001,363.0505734,1394.38913994
