Condition,Direction,Layout,Total Distance (m),Total Time (s),Average Speed (m/s),X Rotation Sum (degs),Y Rotation Sum (degs),Z Rotation Sum (degs),Total Rotation (degs)
No Cues,Forward,1,16.4144069900103,47.94006367,0.342394351058864,778.27754712,455.42915,269.62385124,1503.33054836
No Cues,Backward,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Collocated,Forward,8,16.9176400500662,55.099970664,0.307035373089943,668.1027712,478.5773,237.15353652,1383.83360772
Collocated,Backward,8,16.3056551300057,44.53997543,0.366090348559622,492.055471,410.9368,201.102430506201,1104.0947015062
HUD,Forward,5,15.8798038823027,39.699952656,0.399995537019935,416.65346,303.83522,163.51816448,884.00684448
HUD,Backward,5,15.6595790035837,36.560059922,0.428324763060919,449.6719572,290.5368,147.27447774,887.48323494
Combined,Forward,2,17.3650255818652,63.839992402,0.272008578455301,871.305301799999,659.50909,289.404897595,1820.219289395
Combined,Backward,2,16.4463728764367,51.040007832,0.322225124466488,653.2539538,503.537300000001,234.119115460802,1390.9103692608
