Condition,Direction,Layout,Total Distance (m),Total Time (s),Average Speed (m/s),X Rotation Sum (degs),Y Rotation Sum (degs),Z Rotation Sum (degs),Total Rotation (degs)
No Cues,Forward,2,16.4202952366809,27.300050625,0.601474900623225,737.1809292,485.81865,482.3692817,1705.3688609
No Cues,Backward,2,15.7585864696726,21.999996797,0.716299489271811,647.3614038,369.2807,331.2434654,1347.8855692
Collocated,Forward,7,15.8704952630947,24.54001021,0.646719179302849,658.733122332001,442.71814,319.03770744,1420.488969772
Collocated,Backward,7,15.6652366704655,23.10000999,0.678148480336026,606.046570678801,457.2937,278.0467516,1341.3870222788
HUD,Forward,1,16.8462220897761,39.42004434,0.427351677853951,1344.19737796,671.13273,530.66105322,2545.99116118
HUD,Backward,1,15.6298117587143,27.940060586,0.559405077544675,882.1593604,508.6853,413.7774902,1804.6221506
Combined,Forward,4,16.6520286349792,30.40002879,0.547763581081108,798.25991286,1003.43212,346.91962736,2148.61166022
Combined,Backward,4,15.9249731957091,29.660030996,0.536916943810906,660.809372400001,814.8092,305.29453002,1780.91310242
