Condition,Direction,Layout,Total Distance (m),Total Time (s),Average Speed (m/s),X Rotation Sum (degs),Y Rotation Sum (degs),Z Rotation Sum (degs),Total Rotation (degs)
No Cues,Forward,1,15.5506848536022,16.880006133,0.921248767984804,473.0175066,240.89994,191.537779980001,905.455226580001
No Cues,Backward,1,15.3516427660545,15.43993953,0.994281275274817,452.007195574,213.7812,202.646692540001,868.435088114001
Collocated,Forward,4,16.2222714491589,21.899998835,0.740743027950893,541.4923432,336.5380882,259.243525300001,1137.2739567
Collocated,Backward,4,15.5126435256822,19.64001159,0.789849000576999,506.16983508,324.1335,242.9318652,1073.23520028
HUD,Forward,6,15.5681484338692,19.640018555,0.792674833288579,410.4103824,283.85246,180.491721402001,874.754563802001
HUD,Backward,6,15.6384603658702,18.359981016,0.851768874501663,447.792647500001,271.6028,192.522200280001,911.917647780002
Combined,Forward,7,15.5531512579925,18.90001949,0.822917207372283,577.7798764,317.76517,255.50705194,1151.05209834
Combined,Backward,7,15.5442473661172,17.7999886133,0.873272882573795,520.078513,314.5099,257.20059372,1091.78900672
