Condition,Direction,Layout,Total Distance (m),Total Time (s),Average Speed (m/s),X Rotation Sum (degs),Y Rotation Sum (degs),Z Rotation Sum (degs),Total Rotation (degs)
No Cues,Forward,4,16.9116507032243,26.919986133,0.628219146164159,983.842197420001,598.26509,807.83577444,2389.94306186
No Cues,Backward,4,15.4715301825188,20.739994102,0.74597563077546,698.566491080001,366.2556,476.5678006,1541.38989168
Collocated,Forward,7,15.3756440850837,16.600098242,0.926238137927504,579.451756,296.91618,343.89480156,1220.26273756
Collocated,Backward,7,15.692081296596,14.479984375,1.0837084412666,542.8704838,321.2526,405.379519340001,1269.50260314
HUD,Forward,2,17.9091047469957,28.220005327,0.634624428290267,789.849258280001,383.98938,469.196653843542,1643.03529212354
HUD,Backward,2,15.960387723292,24.339994062,0.655726853615366,694.682220399999,353.0759,335.0957702,1382.8538906
Combined,Forward,3,16.2596312719912,26.339964766,0.617298899844367,1002.52478946,482.66691,496.09219948,1981.28389894
Combined,Backward,3,16.1329383342751,21.239986543,0.759555016742322,660.368584138,317.1177,317.932092400001,1295.418376538
