Condition,Direction,Layout,Total Distance (m),Total Time (s),Average Speed (m/s),X Rotation Sum (degs),Y Rotation Sum (degs),Z Rotation Sum (degs),Total Rotation (degs)
No Cues,Forward,3,15.5806466112602,18.279994,0.852333245364314,290.518843,217.2159031,192.450320058,700.185066158001
No Cues,Backward,3,15.3803105490262,16.12002844727,0.954111873892561,362.831406,234.5406,250.169220800001,847.541226800001
Collocated,Forward,2,15.7627522566699,21.63999662,0.728408258719492,325.742268,262.67544,187.219646172002,775.637354172002
Collocated,Backward,2,15.4716117103514,17.65998437,0.876082978682242,303.714306,236.746,200.7711037,741.2314097
HUD,Forward,6,15.9874333670835,26.260009961,0.608812920894819,438.188549,332.88341,215.190517818,986.262476818
HUD,Backward,6,15.7001240419858,25.68005324,0.611374279299814,450.154939,385.2404,242.390539640001,1077.78587864
Combined,Forward,4,15.8227349227596,25.21996953,0.627389137165209,517.98534,494.03866,252.189652000001,1264.213652
Combined,Backward,4,16.0708588330659,26.49999773,0.606447555083088,430.668216,382.5196,238.38281986,1051.57063586
