Condition,Direction,Layout,Total Distance (m),Total Time (s),Average Speed (m/s),X Rotation Sum (degs),Y Rotation Sum (degs),Z Rotation Sum (degs),Total Rotation (degs)
No Cues,Forward,6,15.106239341083,14.14013875,1.06832327519297,390.429696,246.57731,187.66349636,824.67050236
No Cues,Backward,6,15.1963450607263,13.9599575,1.08856671381172,430.984653636,261.2337,194.226273799999,886.444627436
Collocated,Forward,7,15.2579885185697,15.51995816,0.983120467289305,402.0588306,187.7934,150.488259160001,740.340489760001
Collocated,Backward,7,15.1676408782377,14.559999219,1.04173363268075,366.5494856,191.8235,179.413847180001,737.786832780001
HUD,Forward,8,15.3511162710608,16.82000079,0.912670365639191,493.4872078,223.88841,145.16967024,862.54528804
HUD,Backward,8,15.1327272593918,15.8600021533,0.954144086055064,359.264097400001,252.2081,142.192194000001,753.664391400002
Combined,Forward,1,15.2039761217169,16.27991117,0.933910262958573,472.486627,217.29729,161.575786584001,851.359703584001
Combined,Backward,1,15.2908041837805,15.400021641,0.992907967289554,443.858572,231.7227,177.613280600001,853.1945526
