Condition,Direction,Layout,Total Distance (m),Total Time (s),Average Speed (m/s),X Rotation Sum (degs),Y Rotation Sum (degs),Z Rotation Sum (degs),Total Rotation (degs)
No Cues,Forward,5,15.4386366835658,21.559941367,0.716079715652492,468.2935154,268.2545,258.80450288,995.35251828
No Cues,Backward,5,15.5386616181398,20.0399198,0.775385419363796,388.40526272,261.308944,216.6664426,866.38064932
Collocated,Forward,2,16.6096729778071,28.900026484,0.574728642100129,722.25403366,351.1753,332.545959000001,1405.97529266
Collocated,Backward,2,15.6360288641176,23.41992363,0.667637909975438,758.853027400001,387.252832,362.19574524,1508.30160464
HUD,Forward,6,15.6096447011289,27.21999949,0.573462343629488,620.20445,439.6929,232.637882440001,1292.53523244
HUD,Backward,6,16.1027137179017,29.739986377,0.541449935913725,786.969438,504.3367754,352.31101226,1643.61722566
Combined,Forward,1,16.2624235651908,27.320003027,0.595257019156216,624.56536852,396.7643,326.8677642,1348.19743272
Combined,Backward,1,16.3894768343317,27.38000088,0.598592998815552,788.049518,502.5021736,436.284309760001,1726.83600136
