X,Y,Z,Time,Up HUD,Right HUD,Down HUD,Left HUD,Trial Type,Layout Number,Directionality,Rotation X,Rotation Y,Rotation Z,Direction
0,0,0,0,0,0,0,0,No Cues,6,0,0,0,0,Forward
-0.00021852221974461,0.000106399999999951,6.11640374552636e-05,0.059997556,0,0,0,0,No Cues,6,0,-0.0897000000000006,0.0412699999999973,0.0366999999999962,Forward
-0.00054853621023021,0.000258499999999939,0.00015611542546079,0.119995096,0,0,0,0,No Cues,6,0,-0.1157,0.0661000000000058,0.0799000000000092,Forward
-0.0012519636232069,0.000526699999999991,0.000470245772089317,0.160034196,0,0,0,0,No Cues,6,0,-0.15188,0.0187499999999972,0.1053,Forward
-0.00538127862141113,0.00274370000000002,0.00411975829372802,0.200012196,0,0,0,0,No Cues,6,0,-0.504430000000001,-0.0369400000000013,0.156900000000007,Forward
-0.00825762369262062,0.00274869999999994,0.00792228180204857,0.240051296,0,0,0,0,No Cues,6,0,-0.743490000000001,-0.0803999999999974,0.231600000000014,Forward
-0.011939118872224,0.00167779999999995,0.013512290499945,0.280029296,0,0,0,0,No Cues,6,0,-0.847050000000001,-0.232730000000004,0.499000000000024,Forward
-0.0156315202273669,-5.1200000000029e-05,0.0196693768427325,0.300048796,0,0,0,0,No Cues,6,0,-0.861000000000001,-0.406379999999999,0.690800000000024,Forward
-0.0200665500249668,-0.00222520000000004,0.0260707273794867,0.340026896,0,0,0,0,No Cues,6,0,-0.117420000000001,-0.465829999999997,-359.1187135,Forward
-0.0257870362962955,-0.0043955,0.0322917791249338,0.380004896,0,0,0,0,No Cues,6,0,0.7943,-0.448089999999993,-358.8660646,Forward
-0.032263716094715,-0.00527040000000001,0.0382895119289817,0.400024396,0,0,0,0,No Cues,6,0,1.66696,-0.534580000000005,-358.5190507,Forward
-0.0390283402269054,-0.00516880000000008,0.0450621079858999,0.440002396,0,0,0,0,No Cues,6,0,2.00746,-0.601849999999999,-358.257044,Forward
-0.0466282434189234,-0.00641840000000005,0.0520639394942948,0.480041496,0,0,0,0,No Cues,6,0,1.74062,-0.645769999999999,-357.979916,Forward
-0.0540396343705845,-0.00952510000000006,0.0567667911995522,0.499999996,0,0,0,0,No Cues,6,0,1.68843,-0.757570000000001,-357.815217,Forward
-0.062233822330624,-0.0127306,0.0634218106341993,0.540039096,0,0,0,0,No Cues,6,0,1.66783,-0.851699999999994,-357.568417,Forward
-0.0703585312479387,-0.0164542000000001,0.0702062969087018,0.580017096,0,0,0,0,No Cues,6,0,1.87203,-0.951980000000006,-357.285559,Forward
-0.0784328785105406,-0.0188096,0.0788393717539071,0.600036596,0,0,0,0,No Cues,6,0,1.91422,-1.17854,-356.891551,Forward
-0.0851960234935287,-0.0195155,0.0913765190346516,0.640014696,0,0,0,0,No Cues,6,0,1.7348,-1.46652,-356.412805,Forward
-0.0892869594564489,-0.0222086,0.100522376892025,0.680053696,0,0,0,0,No Cues,6,0,2.92673,-1.46837000000001,-356.250606,Forward
-0.0942672933758728,-0.0218802,0.111421892434059,0.700012196,0,0,0,0,No Cues,6,0,3.33405,-1.1863,-356.337437,Forward
-0.0999919145759964,-0.0206881,0.124450905908421,0.740051296,0,0,0,0,No Cues,6,0,3.32955,-1.10675000000001,-356.315862,Forward
-0.10475616567076,-0.0221001000000001,0.13711935141314,0.780029296,0,0,0,0,No Cues,6,0,3.36625,-1.1161,-356.223349,Forward
-0.108601757701624,-0.0250438000000001,0.152179192645111,0.800048796,0,0,0,0,No Cues,6,0,2.98863,-0.904399999999995,-356.062714,Forward
-0.113086058024895,-0.0291947,0.167974139799524,0.840026896,0,0,0,0,No Cues,6,0,2.95042,-0.686629999999994,-355.859087,Forward
-0.117178685689863,-0.0341573000000001,0.185017846549992,0.880004896,0,0,0,0,No Cues,6,0,3.41624,-0.618080000000006,-355.496859,Forward
-0.121712352399548,-0.039371,0.212317337500658,0.940002396,0,0,0,0,No Cues,6,0,4.44252,-1.00578,-355.020197,Forward
-0.123999119605821,-0.0440961000000001,0.241503238698742,0.980041496,0,0,0,0,No Cues,6,0,5.0554,-1.46523000000001,-354.899556,Forward
-0.124056902137596,-0.045728,0.262928822872318,0.999999996,0,0,0,0,No Cues,6,0,5.10689,-1.65802000000001,-355.17394,Forward
-0.124074862209461,-0.0484853000000001,0.285354718583211,1.040038996,0,0,0,0,No Cues,6,0,4.88626,-1.80243,-355.399249,Forward
-0.122529139376591,-0.0501240000000001,0.311598486184756,1.080016996,0,0,0,0,No Cues,6,0,4.69532,-1.97190999999999,-355.495,Forward
-0.120003604252492,-0.0512152,0.33978265474331,1.119994996,0,0,0,0,No Cues,6,0,4.58985,-2.11747,-355.768609,Forward
-0.115696264862713,-0.0539216,0.381771353846536,1.140014996,0,0,0,0,No Cues,6,0,4.74795,-2.17740000000001,-356.139428,Forward
-0.113804926368987,-0.0541820000000001,0.395023315614597,1.180053996,0,0,0,0,No Cues,6,0,5.00305,-2.27543,-356.143313,Forward
-0.109685297666666,-0.0465305,0.42457048881873,1.200011996,0,0,0,0,No Cues,6,0,6.21662,-2.44132999999999,-356.162231,Forward
-0.103058491676239,-0.0461979,0.450583133193442,1.240050996,0,0,0,0,No Cues,6,0,4.35054,-2.58242,-356.217754,Forward
-0.0981855442463324,-0.0385419,0.473995964469162,1.280028996,0,0,0,0,No Cues,6,0,5.88815,-2.27601,-356.656373,Forward
-0.0984907505797699,-0.0271020000000001,0.489460568734841,1.300048996,0,0,0,0,No Cues,6,0,8.81564,-2.03722999999999,-357.277083,Forward
-0.100864641655978,-0.0198415000000001,0.509496607943184,1.340026996,0,0,0,0,No Cues,6,0,6.1772,-2.49435,-357.489358,Forward
-0.102662637415577,-0.0156522,0.536442735832892,1.380004996,0,0,0,0,No Cues,6,0,2.75373,-2.92624000000001,-357.683282,Forward
-0.105687596180226,-0.0193374000000001,0.558987622558537,1.400023996,0,0,0,0,No Cues,6,0,2.8512,-3.19119999999999,-357.708229,Forward
-0.108648134155994,-0.0178223000000001,0.579572556488332,1.440001996,0,0,0,0,No Cues,6,0,4.38901,-3.06443,-357.259076,Forward
-0.111868999121164,-0.0136566,0.602530972850881,1.480041996,0,0,0,0,No Cues,6,0,4.27151,-2.97897,-356.408005,Forward
