Condition,Direction,Layout,Total Distance (m),Total Time (s),Average Speed (m/s),X Rotation Sum (degs),Y Rotation Sum (degs),Z Rotation Sum (degs),Total Rotation (degs),Percent Stopped,Percent Slowed,Speed Variance,Speed Variance Corrected
No Cues,Forward,6,15.4194432263204,18.719989277,0.823688678351179,525.7186638,348.38677362,200.8209316084,1074.9263690284,0.313479623824451,3.91849529780564,0.231477503232113,0.281025476391728
No Cues,Backward,6,15.5150524531745,18.94000444,0.819168364100683,511.110879,333.933400000001,176.46790366,1021.51218266,0,5.21609538002981,0.22190164873671,0.270886497161451
Collocated,Forward,5,15.3981371055569,18.599971309,0.827858110625483,569.9561172,332.793474,177.916826396001,1080.666417596,0.193423597678917,3.28820116054159,0.189322423178066,0.228689458674295
Collocated,Backward,5,15.2990520620645,18.03997953,0.84806371518452,498.486262,272.8044,179.435813680001,950.726475680001,0,2.25409836065574,0.173843870137812,0.204989161810782
HUD,Forward,2,15.2728980825251,18.73999055,0.814989636295475,506.639078,329.8545866,184.438835707999,1020.932500308,0,2.27272727272727,0.148792455133669,0.182569751205676
HUD,Backward,2,15.3096763033391,18.5000043,0.82754987810133,521.636872000001,316.2171,198.095285960001,1035.94925796,0,4.29292929292929,0.109935141268654,0.132844127197361
Combined,Forward,8,15.1828212236467,19.039920664,0.797420403770581,467.2289362,347.3518782,178.706353440001,993.28716784,2.18978102189781,5.10948905109489,0.137652113185837,0.172621759532302
Combined,Backward,8,15.3761776673019,18.35998223,0.837483254323491,495.314645,291.2427,178.1180186,964.6753636,0,0.269541778975741,0.0743466966395879,0.0887739501127629
