"","Participant.ID","Eye.calibration.success","HUD.adjustment","White.Cane","PWS.average.time","Preferred.Walking.Speed..m.s.","Condition","Forward.or.Backward","Layout","Calibrated.Distance","Calibrated.Time","Average.Speed","X.Pitch","Y.Yaw","Z.Roll","Total.Rotation","Order","PPWS","Errors","Median.Rating","Confidence","Obstacle.location","Obstacle.size","Awareness","Preferred.Condition","rotSpeedX","rotSpeedY","rotSpeedZ","Percent.Stopped","Percent.Slowed","Speed.Variance","Speed.Variance.Corrected"
"55","OA13","Yes","None","Yes",11.17,1.34,"Combined","Combined",2,16.092815,18.96,0.85,457.955,348.72,448.305,1254.98,4,58.875,0,1.5,3,3,0,0,"Yes",24.18122877,18.42214204,23.662335225,0,2.4108904535,0.0935167465,0.10981217
"56","OA14","No","None","No",11.54,1.3,"Control","Combined",7,9999,16.86,9999,9999,9999,9999,9999,1,68.575,0.25,5.5,6.5,6,5,4,"N/A",9999,9999,9999,9999,9999,9999,9999
"57","OA14","No","None","No",11.54,1.3,"No Cues","Combined",2,15.51894,18.96,0.82,453.11,367.865,354.06,1175.04,2,60.87,0.5,0,0,0,0,-1,"N/A",23.83712121,19.427105045,18.650125595,0.992585468,2.9777564035,0.158544512,0.1929493205
"58","OA14","No","None","No",11.54,1.3,"Collocated","Combined",6,15.59813,20.7,0.755,454.76,422.185,261.51,1138.455,4,55.675,0,2,2,2,3,2,"Yes",21.96873249,20.389082635,12.630266105,0.7727153515,3.057482774,0.1092628765,0.145066997
"59","OA14","No","None","No",11.54,1.3,"HUD","Combined",8,16.119935,30.02,0.535,647.3,537.185,355.29,1539.77,5,38.425,0.5,-2,-2,-1,-2,-2,"No",21.63675066,17.959578605,11.860346375,1.2598425195,8.682123589,0.0459867755,0.085766107
"60","OA14","No","None","No",11.54,1.3,"Combined","Combined",1,15.873845,21.85,0.725,496.335,498.64,340.66,1335.635,3,52.415,1,-1,-1,-1,-1,-1,"No",22.701790395,22.79532358,15.583453785,1.3432798045,4.182010301,0.071882394,0.098731106
"61","OA15","No","None","No",10.26,1.46,"Control","Combined",3,9999,12.4775,9999,9999,9999,9999,9999,1,82.46,0.25,6.75,7,6.5,7,5.5,"N/A",9999,9999,9999,9999,9999,9999,9999
"62","OA15","No","None","No",10.26,1.46,"No Cues","Combined",6,15.151295,14.05,1.08,410.705,253.905,190.945,855.555,5,72.975,0.5,0,0,0,0,0,"N/A",29.242116295,18.07561157,13.592446895,1.802506775,3.115514905,0.2973164705,0.2753617255
"63","OA15","No","None","No",10.26,1.46,"Collocated","Combined",7,15.212815,15.04,1.01,384.305,189.805,164.95,739.065,3,68.26,0.5,0,0,0,2,0,"No",25.5405326,12.63716084,11.0093179995,0.591524683,2.0703363915,0.1856651795,0.182875949
"64","OA15","No","None","No",10.26,1.46,"HUD","Combined",8,15.241925,16.34,0.93,426.375,238.05,143.68,808.105,2,62.615,0.5,-1,-1,-1,-1,0,"No",25.995715705,14.60660461,8.7980591175,0.8351154045,3.3105965635,0.1777750605,0.1897192035
"65","OA15","No","None","No",10.26,1.46,"Combined","Combined",1,15.24739,15.84,0.96,458.175,224.51,169.595,852.275,4,64.79,1,2,2,2,2,1,"Yes",28.922402595,14.19720955,10.7290891525,1.390513834,2.7833992095,0.116240583,0.1200804325
"66","OA16","Yes","3 shrink, 1 left","No",12.11,1.24,"Control","Combined",2,9999,19.235,9999,9999,9999,9999,9999,1,63.0925,0,4,4,4,5,4,"N/A",9999,9999,9999,9999,9999,9999,9999
"67","OA16","Yes","3 shrink, 1 left","No",12.11,1.24,"No Cues","Combined",4,16.044655,23.13,0.695,651.395,605.56,600.96,1857.915,2,51.245,0.5,0,0,0,1,0,"N/A",28.1488777,26.11334307,25.92193076,0.517170505,5.780533058,0.143377757,0.2065859395
