Participant ID,Eye calibration success,HUD adjustment,White Cane,PWS average time,Preferred Walking Speed (m/s),Condition,Order,Layout,Forward or Backward,Time,PPWS,Errors,Total Distance,Total Time (Calibrated),Average Velocity,X Rotation (Pitch),Y Rotation (Yaw),Z Rotation (Roll),Total Rotation,Median Rating,Confidence,Obstacle location,Obstacle size,Awareness,Preferred Condition
OA14,No,None,No,11.54,1.3,No Cues,2,2,Forward,19.45,59.34%,1,15.49,19.44,0.8,510.3,358.51,380.93,"1,249.75",4,4,4,4,3,N/A
OA14,No,None,No,11.54,1.3,No Cues,2,2,Backward,18.5,62.40%,0,15.55,18.48,0.84,395.92,377.22,327.19,"1,100.33",4,4,4,4,3,N/A
OA14,No,None,No,11.54,1.3,Collocated,4,6,Forward,21.05,54.82%,0,15.7,21.04,0.75,462.39,438.96,269.76,"1,171.11",6,6,6,7,6,Yes
OA14,No,None,No,11.54,1.3,Collocated,4,6,Backward,20.42,56.53%,0,15.55,20.4,0.76,447.67,407.03,253.34,"1,108.04",6,6,6,7,6,Yes
OA14,No,None,No,11.54,1.3,HUD,5,8,Forward,30.92,37.34%,1,16.4,30.9,0.53,583.52,480.23,337.3,"1,401.05",2,2,3,2,2,No
OA14,No,None,No,11.54,1.3,HUD,5,8,Backward,29.21,39.51%,0,15.87,29.2,0.54,711.39,594.27,373.3,"1,678.96",2,2,3,2,2,No
OA14,No,None,No,11.54,1.3,Combined,3,1,Forward,21.77,53.02%,0,15.97,21.76,0.73,465.65,442.71,322.48,"1,230.83",3,3,3,3,3,No
OA14,No,None,No,11.54,1.3,Combined,3,1,Backward,22.28,51.81%,2,16.03,22.26,0.72,533.57,563.05,361.83,"1,458.45",3,3,3,3,3,No
OA14,No,None,No,11.54,1.3,Control (last),6,3,Forward,17.23,66.99%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.5,7,7,6,6,N/A
OA14,No,None,No,11.54,1.3,Control (last),6,3,Backward,17.76,64.99%,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.5,7,7,6,6,N/A
OA15,No,None,No,10.26,1.46,Control (first),1,3,Forward,13.14,78.10%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.5,7,6,7,5,N/A
OA15,No,None,No,10.26,1.46,Control (first),1,3,Backward,12.97,79.12%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.5,7,6,7,5,N/A
OA15,No,None,No,10.26,1.46,No Cues,5,6,Forward,14.16,72.48%,1,15.11,14.14,1.07,390.43,246.58,187.66,824.67,4,4,4,4,4,N/A
OA15,No,None,No,10.26,1.46,No Cues,5,6,Backward,13.97,73.47%,0,15.2,13.96,1.09,430.98,261.23,194.23,886.44,4,4,4,4,4,N/A
OA15,No,None,No,10.26,1.46,Collocated,3,7,Forward,15.53,66.08%,1,15.26,15.52,0.98,402.06,187.79,150.49,740.34,4,4,4,6,4,No
OA15,No,None,No,10.26,1.46,Collocated,3,7,Backward,14.57,70.44%,0,15.17,14.56,1.04,366.55,191.82,179.41,737.79,4,4,4,6,4,No
OA15,No,None,No,10.26,1.46,HUD,2,8,Forward,16.96,60.52%,1,15.47,16.94,0.91,496.18,226.75,146.11,869.04,3,3,3,3,4,No
OA15,No,None,No,10.26,1.46,HUD,2,8,Backward,15.86,64.71%,0,15.13,15.86,0.95,359.26,252.21,142.19,753.66,3,3,3,3,4,No
OA15,No,None,No,10.26,1.46,Combined,4,1,Forward,16.3,62.97%,1,15.2,16.28,0.93,472.49,217.3,161.58,851.36,6,6,6,6,5,Yes
OA15,No,None,No,10.26,1.46,Combined,4,1,Backward,15.41,66.61%,1,15.29,15.4,0.99,443.86,231.72,177.61,853.19,6,6,6,6,5,Yes
OA15,No,None,No,10.26,1.46,Control (last),6,5,Forward,12.24,83.84%,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,7,7,7,6,N/A
OA15,No,None,No,10.26,1.46,Control (last),6,5,Backward,11.56,88.78%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,7,7,7,6,N/A
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,Control (first),1,2,Forward,20.21,59.93%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,4,5,4,N/A
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,Control (first),1,2,Backward,19.95,60.71%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,4,5,4,N/A
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,No Cues,2,4,Forward,24.36,49.72%,1,16.56,24.36,0.68,699.11,761.07,727.08,"2,187.26",4,4,4,5,4,N/A
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,No Cues,2,4,Backward,22.95,52.77%,0,16.04,22.94,0.7,622.72,483.42,490.52,"1,596.66",4,4,4,5,4,N/A
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,Collocated,3,8,Forward,22.75,53.25%,0,15.8,22.74,0.69,586.31,533.82,463.18,"1,583.32",7,7,7,7,7,Yes
OA16,Yes,"3 shrink, 1 left",No,12.11,1.24,Collocated,3,8,Backward,21.76,55.65%,0,15.11,14.14,1.07,390.43,246.58,187.66,824.67,7,7,7,7,7,Yes
