Participant ID,Condition,Direction,Layout,Calibrated Distance (m),Calibrated Time (s),Average Speed (m/s),X Rotation Sum (degs),Y Rotation Sum (degs),Z Rotation Sum (degs),Total Rotation (degs),Rotation Speed X (deg/s),Rotation Speed Y (deg/s),Rotation Speed Z (deg/s),Percent Stopped,Percent Slowed,Speed Variance,Speed Variance Corrected
OA01,No Cues,Forward,2,15.3939952907579,16.73999191,0.919593950434463,420.4542872,312.71024,240.953366400001,974.117893600001,25.1167556985994,18.6804295773402,14.3938759167537,0.293255131964809,0.879765395894428,0.0926889894336019,0.100793387548723
OA01,No Cues,Backward,2,15.2746938372854,15.559941016,0.981667849613226,438.0369038,296.1551,254.45158138,988.643585180001,28.1515786820512,19.0331762630379,16.3529913846301,0.606060606060606,1.81818181818182,0.116901822847992,0.11908490523964
OA01,Collocated,Forward,8,15.4544170463554,16.43994086,0.940053080358553,442.2457492,297.24946,235.364747140002,974.859956340002,26.9006897875179,18.0809324395587,14.3166419602316,0,1.48809523809524,0.104613242196482,0.111284399128377
OA01,Collocated,Backward,8,15.1791096891626,15.04004023,1.00924661483852,412.753374,320.013,240.1501961,972.916570100001,27.4436349695855,21.2774031921589,15.9673905406834,0,1.42348754448399,0.0958736756908119,0.0949952908250795
OA01,HUD,Forward,5,15.1915589624523,16.67992773,0.910768871925579,427.7296668,324.01675,236.10794192,987.85435872,25.6433765016079,19.4255487940295,14.1552137240585,0.78740157480315,3.1496062992126,0.0972266548375713,0.106752281324692
OA01,HUD,Backward,5,15.2363743691016,15.10009359,1.00902516122098,440.0894827,327.1814,251.121509400001,1018.3923921,29.1448182143353,21.6675080886038,16.6304604606097,0,0.961538461538462,0.0767430779111651,0.0760566543437842
OA01,Combined,Forward,7,15.2461156407551,14.320064375,1.06466809376722,466.633799,338.60783,257.894150800001,1063.1357798,32.5860126588991,23.6456918860744,18.0092871125798,0,0.613496932515337,0.0659337179180953,0.0619288943700715
OA01,Combined,Backward,7,15.2489342180755,14.219974062,1.07236019922323,503.80154194,350.6364,274.650255822002,1129.088197762,35.4291463362305,24.6580196610207,19.3143992122988,0,1.17647058823529,0.085649689394547,0.0798702613698156
OA02,No Cues,Forward,5,15.4386366835658,21.540041367,0.716741273636466,468.2935154,268.2545,258.80450288,995.35251828,21.7406042737429,12.4537597411941,12.0150420544919,0.432900432900433,3.24675324675325,0.068982385329192,0.0962444718429598
OA02,No Cues,Backward,5,15.5386616181398,20.0198998,0.776160808663979,388.40526272,261.308944,216.6664426,866.38064932,19.4009593754311,13.0524601326926,10.8225537971973,0.408163265306122,2.6530612244898,0.11058174116472,0.142472719480731
OA02,Collocated,Forward,2,16.6096729778071,28.860106484,0.575523620712053,722.25403366,351.1753,332.545959000001,1405.97529266,25.0260349545286,12.1681914165733,11.5226864871189,2.80561122244489,15.8316633266533,0.0698877537238398,0.121433336893059
OA02,Collocated,Backward,2,15.6360288641176,23.39990363,0.668209113650848,758.8530274,387.252832,362.19574524,1508.30160464,32.4297501134623,16.5493344811694,15.4785143976253,2.15982721382289,10.7991360691145,0.101279505808729,0.151568578966807
OA02,HUD,Forward,6,15.6096447011289,27.17998949,0.574306502468367,620.20445,439.6929,232.637882440001,1292.53523244,22.8184212590731,16.1770813105638,8.55916013233164,1.88679245283019,7.16981132075472,0.0490403471050936,0.0853905482426515
OA02,HUD,Backward,6,16.1027137179017,29.719996377,0.541814121160642,786.969438,504.3367754,352.31101226,1643.61722566,26.4794594190808,16.9696109313897,11.8543423690539,2.23048327137546,15.9851301115242,0.0610158338523382,0.112613960155992
OA02,Combined,Forward,1,16.2624235651908,27.299983027,0.595693541241659,624.56536852,396.7643,326.8677642,1348.19743272,22.877866550404,14.5334998782818,11.9731856198124,0.710900473933649,11.1374407582938,0.0588882440451176,0.0988566099312936
OA02,Combined,Backward,1,16.3894768343317,27.33996088,0.599469651996505,788.049518,502.5021736,436.284309760001,1726.83600136,28.8240909143539,18.3797692983385,15.9577517932426,0.4739336492891,11.8483412322275,0.071545671423228,0.119348279241407
OA03,No Cues,Forward,3,15.5806466112602,18.259984,0.853267265253912,290.518843,217.2159031,192.450320058,700.185066158,15.9101367777759,11.895733484761,10.5394572119012,0,0.72463768115942,0.10414006738077,0.122048590894648
OA03,No Cues,Backward,3,15.3803105490262,16.10000844727,0.9552982906437,362.831406,234.5406,250.169220800001,847.541226800001,22.5361003497811,14.567731487108,15.5384527666146,0,0.519480519480519,0.154967243453644,0.162218696475656
OA03,Collocated,Forward,2,15.7627522566699,21.62000662,0.729081749775611,325.742268,262.67544,187.219646172002,775.637354172002,15.0667052848479,12.1496466035772,8.6595554507745,0,1.90274841437632,0.0780778885112195,0.107090718613173
OA03,Collocated,Backward,2,15.4716117103514,17.64000437,0.877075276504109,303.714306,236.746,200.7711037,741.2314097,17.2173600204159,13.4209717318795,11.3815790228174,1.30890052356021,2.61780104712042,0.120286330424674,0.137144819432281
OA03,HUD,Forward,6,15.9874333670835,26.219969961,0.60974262712213,438.188549,332.88341,215.190517818,986.262476818,16.712015675524,12.6957967722746,8.20712297298882,0.34965034965035,7.34265734265734,0.0958010296541058,0.157117159589561
OA03,HUD,Backward,6,15.7001240419858,25.64001324,0.612329014615823,450.154939,385.240399999999,242.390539640001,1077.78587864,17.5567358248369,15.0249688404607,9.45360430866926,0.382409177820268,4.97131931166348,0.0696584723921609,0.113759875376581
